epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1126.65,1.60724,2.59323,1.5991,0.29366,0.16883,0.12541,0.07249,1.62978,2.47624,1.64576,0.0700041,0.00333288,0.00333288
2,2135.72,1.6197,2.67421,1.65703,0.34833,0.21579,0.17622,0.10554,1.50616,2.19459,1.57937,0.0399821,0.00664422,0.00664422
3,2626.77,1.60965,2.65182,1.65899,0.35031,0.22959,0.19598,0.11912,1.46846,2.11865,1.55246,0.00993806,0.00993355,0.00993355
4,3167.64,1.59952,2.62025,1.65345,0.37796,0.23013,0.19888,0.12214,1.46436,2.12236,1.5523,0.009901,0.009901,0.009901
5,3647.53,1.58405,2.58364,1.6447,0.3926,0.23216,0.20557,0.12595,1.45584,2.11548,1.54817,0.009868,0.009868,0.009868
6,4132.68,1.57706,2.56252,1.63616,0.38381,0.23537,0.20825,0.12773,1.45188,2.11095,1.54431,0.009835,0.009835,0.009835
7,4613.08,1.57008,2.54481,1.63038,0.40043,0.23228,0.20807,0.12841,1.45196,2.1183,1.54355,0.009802,0.009802,0.009802
8,5093.91,1.56781,2.53437,1.62797,0.40547,0.22676,0.20652,0.12748,1.45349,2.13315,1.54616,0.009769,0.009769,0.009769
9,5578.46,1.56286,2.52517,1.62418,0.40335,0.2235,0.2046,0.12581,1.45444,2.14799,1.5482,0.009736,0.009736,0.009736
10,6742.49,1.56074,2.51843,1.62453,0.40598,0.22035,0.20209,0.1246,1.45748,2.16627,1.55235,0.009703,0.009703,0.009703
