epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3517,1.65966,4.69005,1.50832,0.0001,0.04989,0.00111,0.00027,2.52527,4.77569,1.95126,0.07228,0.00028,0.00028
2,18.5056,1.5645,2.91936,1.44555,0.24592,0.02539,0.04382,0.0355,1.97359,4.66254,1.68198,0.04357,0.000569985,0.000569985
3,25.1882,1.56143,2.44402,1.45298,0.40514,0.05484,0.05916,0.03084,2.00624,3.12651,1.67964,0.0148599,0.000859907,0.000859907
4,31.2207,1.60445,2.32303,1.47384,0.37755,0.20121,0.0758,0.03198,2.08205,12.8377,1.87691,0.000999756,0.000999756,0.000999756
5,37.6315,1.59587,2.29504,1.49387,0.56425,0.12507,0.09217,0.04478,1.86772,3.35492,1.66741,0.000999566,0.000999566,0.000999566
6,44.373,1.58024,2.20796,1.44997,0.47496,0.12375,0.12284,0.05792,1.82252,2.75964,1.55369,0.000999322,0.000999322,0.000999322
7,51.2176,1.57082,2.06269,1.4173,0.5761,0.15393,0.14022,0.07132,1.87229,2.52541,1.64155,0.000999023,0.000999023,0.000999023
8,58.2715,1.50791,1.98693,1.38249,0.44512,0.20887,0.20714,0.10623,1.82977,3.31403,1.62003,0.000998671,0.000998671,0.000998671
9,65.4848,1.48484,1.97177,1.38977,0.54041,0.18347,0.1401,0.06066,1.77282,3.30278,1.51846,0.000998264,0.000998264,0.000998264
10,72.3963,1.45351,1.87144,1.36813,0.52891,0.3426,0.20961,0.1295,1.84363,2.72114,1.61896,0.000997803,0.000997803,0.000997803
11,79.0889,1.45937,1.87307,1.37814,0.59692,0.22778,0.1694,0.0814,1.82563,2.23839,1.57354,0.000997288,0.000997288,0.000997288
12,85.7188,1.4335,1.78635,1.35236,0.5123,0.20996,0.15927,0.08023,1.71454,2.29377,1.51525,0.00099672,0.00099672,0.00099672
13,92.7306,1.42261,1.74178,1.33409,0.69308,0.18003,0.1455,0.07282,1.75217,2.37073,1.52628,0.000996097,0.000996097,0.000996097
14,99.5784,1.43365,1.74648,1.34357,0.45087,0.19019,0.14825,0.07275,1.65424,2.26853,1.46147,0.00099542,0.00099542,0.00099542
15,106.87,1.41542,1.69984,1.33501,0.52072,0.19773,0.15941,0.08352,1.90725,4.11414,1.53001,0.00099469,0.00099469,0.00099469
16,113.826,1.44089,1.72998,1.3617,0.5384,0.14827,0.12955,0.06216,1.84447,4.10913,1.64023,0.000993906,0.000993906,0.000993906
17,120.594,1.38468,1.65076,1.32652,0.51943,0.28747,0.21237,0.11445,1.73745,2.26468,1.53226,0.000993068,0.000993068,0.000993068
18,127.355,1.42019,1.66018,1.3323,0.64325,0.15098,0.17301,0.09182,1.81382,3.59257,1.59038,0.000992177,0.000992177,0.000992177
19,134.192,1.39038,1.61893,1.32023,0.51635,0.22566,0.19604,0.10141,1.60467,2.19561,1.40958,0.000991232,0.000991232,0.000991232
20,140.968,1.37993,1.58236,1.31114,0.59267,0.1994,0.26078,0.15274,1.74692,2.30122,1.54383,0.000990234,0.000990234,0.000990234
21,147.912,1.34785,1.55983,1.28701,0.59183,0.33556,0.34549,0.192,1.70552,1.80115,1.42758,0.000989183,0.000989183,0.000989183
22,154.824,1.3691,1.54611,1.29761,0.66727,0.27079,0.29454,0.16451,1.65315,1.94124,1.43636,0.000988079,0.000988079,0.000988079
23,161.757,1.33264,1.54508,1.28977,0.54191,0.21338,0.212,0.10135,1.68673,2.20142,1.44107,0.000986922,0.000986922,0.000986922
24,168.626,1.35837,1.55361,1.27977,0.48426,0.29159,0.22214,0.10813,1.7192,1.89526,1.502,0.000985711,0.000985711,0.000985711
25,175.484,1.34433,1.53006,1.29173,0.66403,0.23968,0.30903,0.18581,1.54807,2.0464,1.38721,0.000984449,0.000984449,0.000984449
26,182.49,1.33654,1.51353,1.28451,0.70204,0.28587,0.30151,0.17386,1.75619,2.51935,1.55069,0.000983133,0.000983133,0.000983133
27,189.511,1.31784,1.49969,1.27944,0.70804,0.1918,0.27879,0.14844,1.58278,2.0357,1.44925,0.000981765,0.000981765,0.000981765
28,196.346,1.32338,1.48266,1.27816,0.61634,0.28582,0.27779,0.15487,1.57866,1.96359,1.42716,0.000980345,0.000980345,0.000980345
29,203.089,1.30405,1.44572,1.26842,0.53183,0.27728,0.28445,0.14852,1.67365,1.96607,1.47622,0.000978873,0.000978873,0.000978873
30,209.922,1.31978,1.44577,1.27087,0.60987,0.25697,0.26394,0.15559,1.72372,2.21649,1.4971,0.000977349,0.000977349,0.000977349
31,216.808,1.32727,1.43197,1.27291,0.54572,0.29351,0.25864,0.1422,1.74045,2.03078,1.501,0.000975773,0.000975773,0.000975773
32,223.556,1.32585,1.41269,1.26791,0.66523,0.20302,0.29746,0.16396,1.64433,1.76077,1.38447,0.000974145,0.000974145,0.000974145
33,230.615,1.3001,1.40713,1.26798,0.47823,0.30831,0.31323,0.16619,1.66934,1.84895,1.45204,0.000972466,0.000972466,0.000972466
34,237.396,1.27907,1.35077,1.25054,0.68613,0.28398,0.31985,0.18537,1.73574,1.74126,1.49699,0.000970736,0.000970736,0.000970736
35,244.107,1.30679,1.39452,1.26839,0.54146,0.28205,0.24842,0.13339,1.71092,2.01177,1.50523,0.000968955,0.000968955,0.000968955
